G:HGNC:59 and G:HGNC:4195
1.0,3.0,'GDG'
2.0,383.0,'GDpDG'
3284.0,5770.0,'GDpDpDG'
135.0,390.0,'GTG'
427.0,648.0,'GMG'
1.0,3.0,'GDG', 'GDpDG'
1.0,3.0,'GDG', 'GDpDpDG'
3.0,3.0,'GDG', 'GTG'
1.0,1.0,'GDG', 'GMG'
1.0,2106.0,'GDpDG', 'GDpDpDG'
3.0,1164.0,'GDpDG', 'GTG'
4.0,409.0,'GDpDG', 'GMG'
1417.0,3919.0,'GDpDpDG', 'GTG'
653.0,1397.0,'GDpDpDG', 'GMG'
1204.0,2350.0,'GTG', 'GMG'
1.0,3.0,'GDG', 'GDpDG', 'GDpDpDG'
2.0,3.0,'GDG', 'GDpDG', 'GTG'
1.0,1.0,'GDG', 'GDpDG', 'GMG'
2.0,3.0,'GDG', 'GDpDpDG', 'GTG'
1.0,1.0,'GDG', 'GDpDpDG', 'GMG'
1.0,1.0,'GDG', 'GTG', 'GMG'
2.0,1390.0,'GDpDG', 'GDpDpDG', 'GTG'
10.0,432.0,'GDpDG', 'GDpDpDG', 'GMG'
1.0,321.0,'GDpDG', 'GTG', 'GMG'
389.0,1010.0,'GDpDpDG', 'GTG', 'GMG'
2.0,3.0,'GDG', 'GDpDG', 'GDpDpDG', 'GTG'
1.0,1.0,'GDG', 'GDpDG', 'GDpDpDG', 'GMG'
1.0,1.0,'GDG', 'GDpDG', 'GTG', 'GMG'
1.0,1.0,'GDG', 'GDpDpDG', 'GTG', 'GMG'
5.0,324.0,'GDpDG', 'GDpDpDG', 'GTG', 'GMG'
1.0,1.0,'GDG', 'GDpDG', 'GDpDpDG', 'GTG', 'GMG'

G:HGNC:59 and G:HGNC:6257
3.0,3.0,'GDG'
3.0,385.0,'GDpDG'
3227.0,5781.0,'GDpDpDG'
6.0,51.0,'GPdPG'
22.0,493.0,'GTG'
3.0,3.0,'GDG', 'GDpDG'
2.0,3.0,'GDG', 'GDpDpDG'
1.0,1.0,'GDG', 'GPdPG'
1.0,3.0,'GDG', 'GTG'
2.0,2120.0,'GDpDG', 'GDpDpDG'
1.0,21.0,'GDpDG', 'GPdPG'
1.0,1234.0,'GDpDG', 'GTG'
16.0,54.0,'GDpDpDG', 'GPdPG'
91.0,4161.0,'GDpDpDG', 'GTG'
4.0,108.0,'GPdPG', 'GTG'
2.0,3.0,'GDG', 'GDpDG', 'GDpDpDG'
1.0,1.0,'GDG', 'GDpDG', 'GPdPG'
1.0,3.0,'GDG', 'GDpDG', 'GTG'
1.0,1.0,'GDG', 'GDpDpDG', 'GPdPG'
1.0,3.0,'GDG', 'GDpDpDG', 'GTG'
1.0,1.0,'GDG', 'GPdPG', 'GTG'
1.0,21.0,'GDpDG', 'GDpDpDG', 'GPdPG'
1.0,1461.0,'GDpDG', 'GDpDpDG', 'GTG'
1.0,20.0,'GDpDG', 'GPdPG', 'GTG'
6.0,52.0,'GDpDpDG', 'GPdPG', 'GTG'
1.0,1.0,'GDG', 'GDpDG', 'GDpDpDG', 'GPdPG'
1.0,3.0,'GDG', 'GDpDG', 'GDpDpDG', 'GTG'
1.0,1.0,'GDG', 'GDpDG', 'GPdPG', 'GTG'
1.0,1.0,'GDG', 'GDpDpDG', 'GPdPG', 'GTG'
1.0,20.0,'GDpDG', 'GDpDpDG', 'GPdPG', 'GTG'
1.0,1.0,'GDG', 'GDpDG', 'GDpDpDG', 'GPdPG', 'GTG'

G:HGNC:6257 and G:HGNC:4195
2.0,3.0,'GDG'
1.0,337.0,'GDpDG'
4492.0,5721.0,'GDpDpDG'
89.0,494.0,'GTG'
112.0,1469.0,'GMDMG'
2.0,3.0,'GDG', 'GDpDG'
3.0,3.0,'GDG', 'GDpDpDG'
2.0,3.0,'GDG', 'GTG'
1.0,1.0,'GDG', 'GMDMG'
16.0,1873.0,'GDpDG', 'GDpDpDG'
2.0,1448.0,'GDpDG', 'GTG'
1.0,1124.0,'GDpDG', 'GMDMG'
3115.0,5116.0,'GDpDpDG', 'GTG'
3091.0,3834.0,'GDpDpDG', 'GMDMG'
584.0,5740.0,'GTG', 'GMDMG'
3.0,3.0,'GDG', 'GDpDG', 'GDpDpDG'
3.0,3.0,'GDG', 'GDpDG', 'GTG'
1.0,1.0,'GDG', 'GDpDG', 'GMDMG'
3.0,3.0,'GDG', 'GDpDpDG', 'GTG'
1.0,1.0,'GDG', 'GDpDpDG', 'GMDMG'
1.0,1.0,'GDG', 'GTG', 'GMDMG'
25.0,1732.0,'GDpDG', 'GDpDpDG', 'GTG'
26.0,1326.0,'GDpDG', 'GDpDpDG', 'GMDMG'
1.0,1204.0,'GDpDG', 'GTG', 'GMDMG'
1978.0,3346.0,'GDpDpDG', 'GTG', 'GMDMG'
3.0,3.0,'GDG', 'GDpDG', 'GDpDpDG', 'GTG'
1.0,1.0,'GDG', 'GDpDG', 'GDpDpDG', 'GMDMG'
1.0,1.0,'GDG', 'GDpDG', 'GTG', 'GMDMG'
1.0,1.0,'GDG', 'GDpDpDG', 'GTG', 'GMDMG'
22.0,1219.0,'GDpDG', 'GDpDpDG', 'GTG', 'GMDMG'
1.0,1.0,'GDG', 'GDpDG', 'GDpDpDG', 'GTG', 'GMDMG'

